Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
28.755,0.0,M, ,0.07200000000000273,0.006000000000000227,0.10999999999999943,0.10500000000000043,0.0,0.0,0.0,0.0
28.865,0.0,M, ,0.13700000000000045,0.0379999999999967,0.14000000000000057,0.10999999999999943,0.0,0.0,0.0,0.0
29.005,0.0,M-M, ,0.35900000000000176,0.0030000000000001137,0.25500000000000256,0.14000000000000057,0.0,0.0,0.0,0.0
29.26,0.0,M, ,0.1039999999999992,0.25800000000000267,0.10999999999999943,0.25500000000000256,0.0,0.0,0.0,0.0
29.37,0.0,M, ,0.16399999999999793,0.006000000000000227,0.16999999999999815,0.10999999999999943,0.0,0.0,0.0,0.0
29.54,0.0,M, ,0.10900000000000176,0.006000000000000227,0.11500000000000199,0.16999999999999815,-1.0,0.0,-8.695652173912894,0.0
29.655,-1.0,L, ,0.4869999999999983,0.006000000000000227,0.14499999999999957,0.11500000000000199,0.0,-1.0,0.0,-8.695652173912894
29.8,-1.0,L, ,0.34199999999999875,0.1509999999999998,0.21000000000000085,0.14499999999999957,0.0,0.0,0.0,0.0
30.01,-1.0,L, ,0.1319999999999979,0.36100000000000065,0.134999999999998,0.21000000000000085,1.0,0.0,7.407407407407517,0.0
30.145,0.0,M, ,0.11700000000000088,0.0030000000000001137,0.120000000000001,0.134999999999998,0.0,1.0,0.0,7.407407407407517
30.265,0.0,M, ,0.14099999999999824,0.0030000000000001137,0.14999999999999858,0.120000000000001,1.0,0.0,6.66666666666673,0.0
30.415,1.0,H-H, ,0.9140000000000015,0.009000000000000341,0.9149999999999991,0.14999999999999858,-1.0,1.0,-1.092896174863389,6.66666666666673
31.33,0.0,M, ,0.09100000000000108,0.0009999999999976694,0.09000000000000341,0.9149999999999991,1.0,-1.0,11.11111111111069,-1.092896174863389
31.42,1.0,H, ,0.0009999999999976694,0.09100000000000108,0.10999999999999943,0.09000000000000341,0.0,1.0,0.0,11.11111111111069
31.53,1.0,H, ,0.17999999999999972,0.009000000000000341,0.17999999999999972,0.10999999999999943,-0.5,0.0,-2.777777777777782,0.0
31.71,0.5,H-M, ,0.10899999999999821,0.18900000000000006,0.11999999999999744,0.17999999999999972,-0.5,-0.5,-4.166666666666756,-2.777777777777782
31.83,0.0,M, ,0.6370000000000005,0.010999999999999233,0.13000000000000256,0.11999999999999744,0.5,-0.5,3.8461538461537703,-4.166666666666756
31.96,0.5,M-H, ,0.5069999999999979,0.1410000000000018,0.509999999999998,0.13000000000000256,-0.5,0.5,-0.9803921568627489,3.8461538461537703
32.47,0.0,M, ,0.05100000000000193,0.0030000000000001137,0.045000000000001705,0.509999999999998,0.0,-0.5,0.0,-0.9803921568627489
32.515,0.0,M, ,0.006000000000000227,0.04800000000000182,0.10499999999999687,0.045000000000001705,0.0,0.0,0.0,0.0
32.62,0.0,M, ,0.14000000000000057,0.001999999999995339,0.19000000000000483,0.10499999999999687,0.0,0.0,0.0,0.0
32.81,0.0,M, ,0.001999999999995339,0.05000000000000426,0.134999999999998,0.19000000000000483,0.0,0.0,0.0,0.0
32.945,0.0,M, ,0.09700000000000131,0.0009999999999976694,0.10000000000000142,0.134999999999998,-0.5,0.0,-4.999999999999929,0.0
33.045,-0.5,M-L, ,0.6529999999999987,0.0030000000000001137,0.6899999999999977,0.10000000000000142,0.5,-0.5,0.7246376811594227,-4.999999999999929
33.735,0.0,M, ,0.13600000000000279,0.036999999999999034,0.14000000000000057,0.6899999999999977,1.0,0.5,7.142857142857114,0.7246376811594227
33.875,1.0,H, ,0.05100000000000193,0.003999999999997783,0.054999999999999716,0.14000000000000057,0.0,1.0,0.0,7.142857142857114
33.93,1.0,H, ,0.12700000000000244,0.003999999999997783,0.16499999999999915,0.054999999999999716,-1.0,0.0,-6.060606060606092,0.0
